,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Guinea,Guinea,0,0,0,0,0,0,0,,0.0,
Guinea-Bissau,Guinea-Bissau,0,0,0,0,0,0,0,,0.0,
Guyana,Guyana,0,0,0,0,0,0,0,,0.0,
Găgăuzia,Găgăuzia,0,0,0,0,0,0,0,,0.0,
Haiti,Haiti,0,0,0,0,0,0,0,,0.0,
Hitra,Hitra,0,0,0,0,0,0,0,,0.0,
Honduras,Honduras,0,0,0,0,0,0,0,,0.0,
Hong Kong,Hong Kong,0,0,0,0,0,0,0,,0.0,
Hungary,Hungary,0,0,0,0,0,0,0,,0.0,
Iceland,Iceland,0,0,0,0,0,0,0,,0.0,
India,India,0,0,0,0,0,0,0,,0.0,
Indonesia,Indonesia,0,0,0,0,0,0,0,,0.0,
Iran,Iran,0,0,0,0,0,0,0,,0.0,
Iraq,Iraq,0,0,0,0,0,0,0,,0.0,
Iraqi Kurdistan,Iraqi Kurdistan,0,0,0,0,0,0,0,,0.0,
Isle of Man,Isle of Man,0,0,0,0,0,0,0,,0.0,
Isle of Wight,Isle of Wight,0,0,0,0,0,0,0,,0.0,
Israel,Israel,0,0,0,0,0,0,0,,0.0,
Italy,Italy,0,0,0,0,0,0,0,,0.0,
Ivory Coast,Ivory Coast,0,0,0,0,0,0,0,,0.0,
Jamaica,Jamaica,0,0,0,0,0,0,0,,0.0,
Japan,Japan,0,0,0,0,0,0,0,,0.0,
Jersey,Jersey,0,0,0,0,0,0,0,,0.0,
Jordan,Jordan,0,0,0,0,0,0,0,,0.0,
Kabylia,Kabylia,0,0,0,0,0,0,0,,0.0,
Kazakhstan,Kazakhstan,0,0,0,0,0,0,0,,0.0,
Kenya,Kenya,0,0,0,0,0,0,0,,0.0,
Kernow,Kernow,0,0,0,0,0,0,0,,0.0,
Kiribati,Kiribati,0,0,0,0,0,0,0,,0.0,
Kosovo,Kosovo,0,0,0,0,0,0,0,,0.0,
Kuwait,Kuwait,0,0,0,0,0,0,0,,0.0,
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0,,0.0,
Kárpátalja,Kárpátalja,0,0,0,0,0,0,0,,0.0,
Laos,Laos,0,0,0,0,0,0,0,,0.0,
Latvia,Latvia,0,0,0,0,0,0,0,,0.0,
Lebanon,Lebanon,0,0,0,0,0,0,0,,0.0,
Lesotho,Lesotho,0,0,0,0,0,0,0,,0.0,
Liberia,Liberia,0,0,0,0,0,0,0,,0.0,
Libya,Libya,0,0,0,0,0,0,0,,0.0,
Liechtenstein,Liechtenstein,0,0,0,0,0,0,0,,0.0,
Lithuania,Lithuania,0,0,0,0,0,0,0,,0.0,
Luxembourg,Luxembourg,0,0,0,0,0,0,0,,0.0,
Macau,Macau,0,0,0,0,0,0,0,,0.0,
Madagascar,Madagascar,0,0,0,0,0,0,0,,0.0,
Madrid,Madrid,0,0,0,0,0,0,0,,0.0,
Malawi,Malawi,0,0,0,0,0,0,0,,0.0,
Malaysia,Malaysia,0,0,0,0,0,0,0,,0.0,
Maldives,Maldives,0,0,0,0,0,0,0,,0.0,
Mali,Mali,0,0,0,0,0,0,0,,0.0,
Malta,Malta,0,0,0,0,0,0,0,,0.0,
Manchukuo,Manchukuo,0,0,0,0,0,0,0,,0.0,
Martinique,Martinique,0,0,0,0,0,0,0,,0.0,
Matabeleland,Matabeleland,0,0,0,0,0,0,0,,0.0,
Mauritania,Mauritania,0,0,0,0,0,0,0,,0.0,
Mauritius,Mauritius,0,0,0,0,0,0,0,,0.0,
Mayotte,Mayotte,0,0,0,0,0,0,0,,0.0,
Menorca,Menorca,0,0,0,0,0,0,0,,0.0,
Mexico,Mexico,0,0,0,0,0,0,0,,0.0,
Micronesia,Micronesia,0,0,0,0,0,0,0,,0.0,
Moldova,Moldova,0,0,0,0,0,0,0,,0.0,
Monaco,Monaco,0,0,0,0,0,0,0,,0.0,
Mongolia,Mongolia,0,0,0,0,0,0,0,,0.0,
Montenegro,Montenegro,0,0,0,0,0,0,0,,0.0,
Montserrat,Montserrat,0,0,0,0,0,0,0,,0.0,
Morocco,Morocco,0,0,0,0,0,0,0,,0.0,
Mozambique,Mozambique,0,0,0,0,0,0,0,,0.0,
Myanmar,Myanmar,0,0,0,0,0,0,0,,0.0,
Namibia,Namibia,0,0,0,0,0,0,0,,0.0,
Nepal,Nepal,0,0,0,0,0,0,0,,0.0,
Netherlands,Netherlands,0,0,0,0,0,0,0,,0.0,
New Caledonia,New Caledonia,0,0,0,0,0,0,0,,0.0,
New Zealand,New Zealand,0,0,0,0,0,0,0,,0.0,
Nicaragua,Nicaragua,0,0,0,0,0,0,0,,0.0,
Niger,Niger,0,0,0,0,0,0,0,,0.0,
Nigeria,Nigeria,0,0,0,0,0,0,0,,0.0,
Niue,Niue,0,0,0,0,0,0,0,,0.0,
North Korea,North Korea,0,0,0,0,0,0,0,,0.0,
North Macedonia,North Macedonia,0,0,0,0,0,0,0,,0.0,
North Vietnam,North Vietnam,0,0,0,0,0,0,0,,0.0,
Northern Cyprus,Northern Cyprus,0,0,0,0,0,0,0,,0.0,
Northern Ireland,Northern Ireland,22,1,1,20,20,139,-119,4.545454545454546,4.0,0.18181818181818182
Northern Mariana Islands,Northern Mariana Islands,0,0,0,0,0,0,0,,0.0,
Norway,Norway,0,0,0,0,0,0,0,,0.0,
Occitania,Occitania,0,0,0,0,0,0,0,,0.0,
Oman,Oman,0,0,0,0,0,0,0,,0.0,
Orkney,Orkney,0,0,0,0,0,0,0,,0.0,
Padania,Padania,0,0,0,0,0,0,0,,0.0,
Pakistan,Pakistan,0,0,0,0,0,0,0,,0.0,
Palau,Palau,0,0,0,0,0,0,0,,0.0,
Palestine,Palestine,0,0,0,0,0,0,0,,0.0,
Panama,Panama,0,0,0,0,0,0,0,,0.0,
Panjab,Panjab,0,0,0,0,0,0,0,,0.0,
Papua New Guinea,Papua New Guinea,0,0,0,0,0,0,0,,0.0,
Paraguay,Paraguay,0,0,0,0,0,0,0,,0.0,
Parishes of Jersey,Parishes of Jersey,0,0,0,0,0,0,0,,0.0,
Peru,Peru,0,0,0,0,0,0,0,,0.0,
Philippines,Philippines,0,0,0,0,0,0,0,,0.0,
Poland,Poland,0,0,0,0,0,0,0,,0.0,
Portugal,Portugal,0,0,0,0,0,0,0,,0.0,
Provence,Provence,0,0,0,0,0,0,0,,0.0,
Puerto Rico,Puerto Rico,0,0,0,0,0,0,0,,0.0,
Qatar,Qatar,0,0,0,0,0,0,0,,0.0,
Raetia,Raetia,0,0,0,0,0,0,0,,0.0,
Republic of Ireland,Republic of Ireland,0,0,0,0,0,0,0,,0.0,
Republic of St. Pauli,Republic of St. Pauli,0,0,0,0,0,0,0,,0.0,
Rhodes,Rhodes,0,0,0,0,0,0,0,,0.0,
Romani people,Romani people,0,0,0,0,0,0,0,,0.0,
Romania,Romania,0,0,0,0,0,0,0,,0.0,
Russia,Russia,0,0,0,0,0,0,0,,0.0,
Rwanda,Rwanda,0,0,0,0,0,0,0,,0.0,
Réunion,Réunion,0,0,0,0,0,0,0,,0.0,
Saare County,Saare County,0,0,0,0,0,0,0,,0.0,
Saarland,Saarland,0,0,0,0,0,0,0,,0.0,
Saint Helena,Saint Helena,0,0,0,0,0,0,0,,0.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,0,0,0,0,0,0,0,,0.0,
Saint Lucia,Saint Lucia,0,0,0,0,0,0,0,,0.0,
Saint Martin,Saint Martin,0,0,0,0,0,0,0,,0.0,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,0,0,0,0,0,0,,0.0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,,0.0,
Samoa,Samoa,0,0,0,0,0,0,0,,0.0,
San Marino,San Marino,0,0,0,0,0,0,0,,0.0,
Sark,Sark,0,0,0,0,0,0,0,,0.0,
Saudi Arabia,Saudi Arabia,0,0,0,0,0,0,0,,0.0,
Scotland,Scotland,27,23,3,1,114,32,82,85.18518518518519,72.0,2.6666666666666665
Senegal,Senegal,0,0,0,0,0,0,0,,0.0,
Serbia,Serbia,0,0,0,0,0,0,0,,0.0,
Seychelles,Seychelles,0,0,0,0,0,0,0,,0.0,
Shetland,Shetland,0,0,0,0,0,0,0,,0.0,
Sierra Leone,Sierra Leone,0,0,0,0,0,0,0,,0.0,
Silesia,Silesia,0,0,0,0,0,0,0,,0.0,
Singapore,Singapore,0,0,0,0,0,0,0,,0.0,
Sint Maarten,Sint Maarten,0,0,0,0,0,0,0,,0.0,
Slovakia,Slovakia,0,0,0,0,0,0,0,,0.0,
Slovenia,Slovenia,0,0,0,0,0,0,0,,0.0,
Solomon Islands,Solomon Islands,0,0,0,0,0,0,0,,0.0,
Somalia,Somalia,0,0,0,0,0,0,0,,0.0,
Somaliland,Somaliland,0,0,0,0,0,0,0,,0.0,
South Africa,South Africa,0,0,0,0,0,0,0,,0.0,
South Korea,South Korea,0,0,0,0,0,0,0,,0.0,
South Ossetia,South Ossetia,0,0,0,0,0,0,0,,0.0,
South Sudan,South Sudan,0,0,0,0,0,0,0,,0.0,
Spain,Spain,0,0,0,0,0,0,0,,0.0,
Sri Lanka,Sri Lanka,0,0,0,0,0,0,0,,0.0,
Sudan,Sudan,0,0,0,0,0,0,0,,0.0,
Suriname,Suriname,0,0,0,0,0,0,0,,0.0,
Sweden,Sweden,0,0,0,0,0,0,0,,0.0,
Switzerland,Switzerland,0,0,0,0,0,0,0,,0.0,
Syria,Syria,0,0,0,0,0,0,0,,0.0,
Székely Land,Székely Land,0,0,0,0,0,0,0,,0.0,
Sápmi,Sápmi,0,0,0,0,0,0,0,,0.0,
São Tomé and Príncipe,São Tomé and Príncipe,0,0,0,0,0,0,0,,0.0,
Tahiti,Tahiti,0,0,0,0,0,0,0,,0.0,
Tajikistan,Tajikistan,0,0,0,0,0,0,0,,0.0,
Tamil Eelam,Tamil Eelam,0,0,0,0,0,0,0,,0.0,
Tanzania,Tanzania,0,0,0,0,0,0,0,,0.0,
Thailand,Thailand,0,0,0,0,0,0,0,,0.0,
Tibet,Tibet,0,0,0,0,0,0,0,,0.0,
Timor-Leste,Timor-Leste,0,0,0,0,0,0,0,,0.0,
Togo,Togo,0,0,0,0,0,0,0,,0.0,
Tonga,Tonga,0,0,0,0,0,0,0,,0.0,
Trinidad and Tobago,Trinidad and Tobago,0,0,0,0,0,0,0,,0.0,
Tunisia,Tunisia,0,0,0,0,0,0,0,,0.0,
Turkey,Turkey,0,0,0,0,0,0,0,,0.0,
Turkmenistan,Turkmenistan,0,0,0,0,0,0,0,,0.0,
Turks and Caicos Islands,Turks and Caicos Islands,0,0,0,0,0,0,0,,0.0,
Tuvalu,Tuvalu,0,0,0,0,0,0,0,,0.0,
U.S. Virgin Islands,U.S. Virgin Islands,0,0,0,0,0,0,0,,0.0,
Uganda,Uganda,0,0,0,0,0,0,0,,0.0,
Ukraine,Ukraine,0,0,0,0,0,0,0,,0.0,
United Arab Emirates,United Arab Emirates,0,0,0,0,0,0,0,,0.0,
United Koreans in Japan,United Koreans in Japan,0,0,0,0,0,0,0,,0.0,
United States,United States,2,1,0,1,3,3,0,50.0,3.0,1.5
Uruguay,Uruguay,0,0,0,0,0,0,0,,0.0,
Uzbekistan,Uzbekistan,0,0,0,0,0,0,0,,0.0,
Vanuatu,Vanuatu,0,0,0,0,0,0,0,,0.0,
Vatican City,Vatican City,0,0,0,0,0,0,0,,0.0,
Venezuela,Venezuela,0,0,0,0,0,0,0,,0.0,
Vietnam,Vietnam,0,0,0,0,0,0,0,,0.0,
Vietnam Republic,Vietnam Republic,0,0,0,0,0,0,0,,0.0,
Wales,Wales,28,8,3,17,60,82,-22,28.57142857142857,27.0,0.9642857142857143
Wallis Islands and Futuna,Wallis Islands and Futuna,0,0,0,0,0,0,0,,0.0,
Western Armenia,Western Armenia,0,0,0,0,0,0,0,,0.0,
Western Isles,Western Isles,0,0,0,0,0,0,0,,0.0,
Western Sahara,Western Sahara,0,0,0,0,0,0,0,,0.0,
Yemen,Yemen,0,0,0,0,0,0,0,,0.0,
Yemen DPR,Yemen DPR,0,0,0,0,0,0,0,,0.0,
Ynys Môn,Ynys Môn,0,0,0,0,0,0,0,,0.0,
Yorkshire,Yorkshire,0,0,0,0,0,0,0,,0.0,
Yugoslavia,Yugoslavia,0,0,0,0,0,0,0,,0.0,
Zambia,Zambia,0,0,0,0,0,0,0,,0.0,
Zanzibar,Zanzibar,0,0,0,0,0,0,0,,0.0,
Zimbabwe,Zimbabwe,0,0,0,0,0,0,0,,0.0,
Åland Islands,Åland Islands,0,0,0,0,0,0,0,,0.0,
Asturias,Asturias,0,0,0,0,0,0,0,,0.0,
Congo DR,Congo DR,0,0,0,0,0,0,0,,0.0,
Surrey,Surrey,0,0,0,0,0,0,0,,0.0,
Two Sicilies,Two Sicilies,0,0,0,0,0,0,0,,0.0,
Western Australia,Western Australia,0,0,0,0,0,0,0,,0.0,
